ID,tid,confirmed_planet
2410,TIC 229745238,0
2411,TIC 258917846,1
2412,TIC 229745664,0
2413,TIC 229745729,0
2414,TIC 229746640,0
2415,TIC 260304800,1
2416,TIC 229747353,0
2417,TIC 154012384,0
2418,TIC 260640693,1
2419,TIC 154012452,0
2420,TIC 279947414,1
2421,TIC 154012490,0
2422,TIC 280024247,1
2423,TIC 154012559,0
2424,TIC 269439355,1
2425,TIC 154012984,0
2426,TIC 154013382,0
2427,TIC 271168962,1
2428,TIC 154066319,0
2429,TIC 281196902,1
2430,TIC 229747669,0
2431,TIC 229747807,0
2432,TIC 285677945,1
2433,TIC 229748103,0
2434,TIC 272167060,1
2435,TIC 229748407,0
2436,TIC 229748825,0
2437,TIC 357202877,1
2438,TIC 229749413,0
2439,TIC 357538688,1
2440,TIC 229749290,0
2441,TIC 154014160,0
2442,TIC 154066212,0
2443,TIC 154067154,0
2444,TIC 154067925,0
2445,TIC 154068827,0
2446,TIC 154068881,0
2447,TIC 154069102,0
2448,TIC 455272393,1
2449,TIC 229750872,0
2450,TIC 229751806,0
2451,TIC 229752332,0
2452,TIC 229752545,0
2453,TIC 277634430,1
2454,TIC 229760134,0
2455,TIC 278198753,1
2456,TIC 229760307,0
2457,TIC 278415929,1
2458,TIC 154070315,0
2459,TIC 278540265,1
2460,TIC 154070361,0
2461,TIC 278683844,1
2462,TIC 154070383,0
2463,TIC 288671122,1
2464,TIC 154071118,0
2465,TIC 278862750,1
2466,TIC 179687771,1
2467,TIC 154071313,0
2468,TIC 275248683,1
2469,TIC 154087068,0
2470,TIC 277833423,1
2471,TIC 154087398,0
2472,TIC 453060368,1
2473,TIC 154087400,0
2474,TIC 287329267,1
2475,TIC 154089403,0
2476,TIC 287563610,1
2477,TIC 154089472,0
2478,TIC 154089846,0
2479,TIC 154090237,0
2480,TIC 154090243,0
2481,TIC 154090326,0
2482,TIC 313194972,1
2483,TIC 154090877,0
2484,TIC 154091373,0
2485,TIC 297361900,1
2486,TIC 154092558,0
2487,TIC 321041369,1
2488,TIC 154092672,0
2489,TIC 321578632,1
2490,TIC 229760554,0
2491,TIC 229761376,0
2492,TIC 321894059,1
2493,TIC 229762574,0
2494,TIC 229764903,0
2495,TIC 302527524,1
2496,TIC 229764614,0
2497,TIC 302798365,1
2498,TIC 229764062,0
2499,TIC 154092910,0
2500,TIC 303364023,1
2501,TIC 154093073,0
2502,TIC 154093217,0
2503,TIC 328814605,1
2504,TIC 154094097,0
2505,TIC 304142124,1
2506,TIC 229764574,0
2507,TIC 229765652,0
2508,TIC 229765695,0
2509,TIC 306472057,1
2510,TIC 229766929,0
2511,TIC 229767197,0
2512,TIC 229767960,0
2513,TIC 307210830,1
2514,TIC 229768476,0
2515,TIC 308191940,1
2516,TIC 229770452,0
2517,TIC 229770586,0
2518,TIC 229772186,0
2519,TIC 229772500,0
2520,TIC 154094187,0
2521,TIC 154106090,0
2522,TIC 154106334,0
2523,TIC 154106758,0
2524,TIC 154107159,0
2525,TIC 347357977,1
2526,TIC 154107531,0
2527,TIC 154107836,0
2528,TIC 229774503,0
2529,TIC 229775316,0
2530,TIC 229775434,0
2531,TIC 347051112,1
2532,TIC 229776099,0
2533,TIC 348099535,1
2534,TIC 229776138,0
2535,TIC 229776259,0
2536,TIC 319259194,1
2537,TIC 229776590,0
2538,TIC 229776996,0
2539,TIC 320079492,1
2540,TIC 229777155,0
2541,TIC 229779634,0
2542,TIC 323002911,1
2543,TIC 229779790,0
2544,TIC 323132914,1
2545,TIC 229780321,0
2546,TIC 229781039,0
2547,TIC 154124607,0
2548,TIC 154124781,0
2549,TIC 154124806,0
2550,TIC 154125177,0
2551,TIC 154125326,0
2552,TIC 334305570,1
2553,TIC 154164528,0
2554,TIC 362220495,1
2555,TIC 229782013,0
2556,TIC 229782015,0
2557,TIC 229782481,0
2558,TIC 229782543,0
2559,TIC 229783115,0
2560,TIC 229783705,0
2561,TIC 356590734,1
2562,TIC 229786055,0
2563,TIC 229786139,0
2564,TIC 229786634,0
2565,TIC 229787530,0
2566,TIC 359357695,1
2567,TIC 229788204,0
2568,TIC 154164843,0
2569,TIC 366568760,1
2570,TIC 154164767,0
2571,TIC 154165827,0
2572,TIC 154180764,0
2573,TIC 360156606,1
2574,TIC 154180887,0
2575,TIC 154180991,0
2576,TIC 360714300,1
2577,TIC 154181488,0
2578,TIC 362249359,1
2579,TIC 229788783,0
2580,TIC 229790429,0
2581,TIC 229790589,0
2582,TIC 392681545,1
2583,TIC 229790769,0
2584,TIC 229791353,0
2585,TIC 375223080,1
2586,TIC 229793100,0
2587,TIC 229793976,0
2588,TIC 382980571,1
2589,TIC 229794879,0
2590,TIC 229795273,0
2591,TIC 229796245,0
2592,TIC 229796710,0
2593,TIC 229796741,0
2594,TIC 229797554,0
2595,TIC 397522142,1
2596,TIC 229797408,0
2597,TIC 229798009,0
2598,TIC 229798411,0
2599,TIC 399144800,1
2600,TIC 229799261,0
2601,TIC 386259537,1
2602,TIC 229799553,0
2603,TIC 386435344,1
2604,TIC 229912984,0
2605,TIC 386456916,1
2606,TIC 230380624,0
2607,TIC 388089437,1
2608,TIC 230387399,0
2609,TIC 409794137,1
2610,TIC 230393985,0
2611,TIC 232618367,0
2612,TIC 232619085,0
2613,TIC 400786146,1
2614,TIC 232620739,0
2615,TIC 400972123,1
2616,TIC 232623406,0
2617,TIC 420645189,1
2618,TIC 232623880,0
2619,TIC 232623570,0
2620,TIC 404340025,1
2621,TIC 232624089,0
2622,TIC 232625701,0
2623,TIC 232626447,0
2624,TIC 412485680,1
2625,TIC 154181778,0
2626,TIC 154181549,0
2627,TIC 428251130,1
2628,TIC 154182208,0
2629,TIC 428679607,1
2630,TIC 154182243,0
2631,TIC 431899140,1
2632,TIC 154204595,0
2633,TIC 154346102,0
2634,TIC 232626766,0
2635,TIC 232627499,0
2636,TIC 232627780,0
2637,TIC 440324561,1
2638,TIC 232628420,0
2639,TIC 232628654,0
2640,TIC 232628664,0
2641,TIC 232628922,0
2642,TIC 232629077,0
2643,TIC 450649506,1
2644,TIC 232629466,0
2645,TIC 232629479,0
2646,TIC 451645081,1
2647,TIC 232630507,0
2648,TIC 232630741,0
2649,TIC 232631278,0
2650,TIC 232631358,0
2651,TIC 33716474,1
2652,TIC 33831980,1
2653,TIC 154357529,0
2654,TIC 141527579,1
2655,TIC 154357942,0
2656,TIC 142019343,1
2657,TIC 154358045,0
2658,TIC 142087638,1
2659,TIC 154382028,0
2660,TIC 150098860,1
2661,TIC 154382064,0
2662,TIC 260128333,1
2663,TIC 154382580,0
2664,TIC 261257684,1
2665,TIC 232632120,0
2666,TIC 261264800,1
2667,TIC 232632293,0
2668,TIC 269849065,1
2669,TIC 232632890,0
2670,TIC 278196907,1
2671,TIC 232633119,0
2672,TIC 232634613,0
2673,TIC 279425357,1
2674,TIC 233045207,0
2675,TIC 281924357,1
2676,TIC 154382598,0
2677,TIC 287156968,1
2678,TIC 154383331,0
2679,TIC 287721202,1
2680,TIC 154384371,0
2681,TIC 287776397,1
2682,TIC 154385183,0
2683,TIC 300710077,1
2684,TIC 154385207,0
2685,TIC 155581098,0
2686,TIC 453260209,1
2687,TIC 155581200,0
2688,TIC 446157122,1
2689,TIC 155581343,0
2690,TIC 155897867,0
2691,TIC 453677947,1
2692,TIC 155898037,0
2693,TIC 453789494,1
2694,TIC 155899495,0
2695,TIC 454248975,1
2696,TIC 155899838,0
2697,TIC 454828937,1
2698,TIC 155900067,0
2699,TIC 155915173,0
2700,TIC 454918388,1
2701,TIC 155915231,0
2702,TIC 155915269,0
2703,TIC 156377163,0
2704,TIC 233045220,0
2705,TIC 233048851,0
2706,TIC 233051855,0
2707,TIC 233055641,0
2708,TIC 460950389,1
2709,TIC 233060062,0
2710,TIC 460984940,1
2711,TIC 233060538,0
2712,TIC 233060572,0
2713,TIC 233060692,0
2714,TIC 462162948,1
2715,TIC 233061961,0
2716,TIC 233062474,0
2717,TIC 233062953,0
2718,TIC 233063121,0
2719,TIC 233063187,0
2720,TIC 233066644,0
2721,TIC 233068587,0
2722,TIC 419419534,1
2723,TIC 233068870,0
2724,TIC 463203560,1
2725,TIC 233069347,0
2726,TIC 233070089,0
2727,TIC 464300749,1
2728,TIC 156458478,0
2729,TIC 156462029,0
2730,TIC 156462152,0
2731,TIC 233071509,0
2732,TIC 465933345,1
2733,TIC 233071986,0
2734,TIC 233072899,0
2735,TIC 466113537,1
2736,TIC 233072967,0
2737,TIC 233073319,0
2738,TIC 467666275,1
2739,TIC 233073887,0
2740,TIC 233075841,0
2741,TIC 233075671,0
2742,TIC 233076052,0
2743,TIC 233076309,0
2744,TIC 233076505,0
2745,TIC 233078804,0
2746,TIC 233078821,0
2747,TIC 156463865,0
2748,TIC 156464064,0
2749,TIC 156464049,0
2750,TIC 156464342,0
2751,TIC 156464436,0
2752,TIC 156464601,0
2753,TIC 250306572,1
2754,TIC 233077155,0
2755,TIC 233079659,0
2756,TIC 282221346,1
2757,TIC 233080120,0
2758,TIC 233080133,0
2759,TIC 233080272,0
2760,TIC 233080541,0
2761,TIC 233080908,0
2762,TIC 311736478,1
2763,TIC 233081670,0
2764,TIC 315350812,1
2765,TIC 233082732,0
2766,TIC 233082738,0
2767,TIC 233084032,0
2768,TIC 327017634,1
2769,TIC 233084447,0
2770,TIC 233085123,0
2771,TIC 329672278,1
2772,TIC 156493258,0
2773,TIC 156493690,0
2774,TIC 156495262,0
2775,TIC 156496351,0
2776,TIC 156507936,0
2777,TIC 156509170,0
2778,TIC 443961200,1
2779,TIC 156953154,0
2780,TIC 156984841,0
2781,TIC 452866790,1
2782,TIC 156985318,0
2783,TIC 233087236,0
2784,TIC 233087395,0
2785,TIC 233087496,0
2786,TIC 384016413,1
2787,TIC 233087949,0
2788,TIC 233088888,0
2789,TIC 394672497,1
2790,TIC 233089750,0
2791,TIC 233089202,0
2792,TIC 156985493,0
2793,TIC 156986379,0
2794,TIC 403507814,1
2795,TIC 156993376,0
2796,TIC 156993622,0
2797,TIC 156995534,0
2798,TIC 413343957,1
2799,TIC 156996254,0
2800,TIC 418471796,1
2801,TIC 156997979,0
2802,TIC 157015544,0
2803,TIC 455135327,1
2804,TIC 157016177,0
2805,TIC 157018051,0
2806,TIC 157018150,0
2807,TIC 157018883,0
2808,TIC 157019277,0
2809,TIC 157976979,0
2810,TIC 157977863,0
2811,TIC 158447595,0
2812,TIC 158461758,0
2813,TIC 158462585,0
2814,TIC 158462948,0
2815,TIC 457649900,1
2816,TIC 158494541,0
2817,TIC 136916387,1
2818,TIC 158498107,0
2819,TIC 190271688,1
2820,TIC 158514375,0
2821,TIC 158514445,0
2822,TIC 158515710,0
2823,TIC 261867566,1
2824,TIC 158532193,0
2825,TIC 158515965,0
2826,TIC 158533060,0
2827,TIC 158534002,0
2828,TIC 158534367,0
2829,TIC 158534472,0
2830,TIC 158534889,0
2831,TIC 298372701,1
2832,TIC 158539022,0
2833,TIC 302659412,1
2834,TIC 158539034,0
2835,TIC 314724818,1
2836,TIC 158539318,0
2837,TIC 158540702,0
2838,TIC 323295479,1
2839,TIC 158563342,0
2840,TIC 158563529,0
2841,TIC 158563607,0
2842,TIC 369768787,1
2843,TIC 158563777,0
2844,TIC 369960846,1
2845,TIC 158564674,0
2846,TIC 158565141,0
2847,TIC 379717270,1
2848,TIC 158565504,0
2849,TIC 158565557,0
2850,TIC 383390264,1
2851,TIC 158579027,0
2852,TIC 158579379,0
2853,TIC 396368313,1
2854,TIC 158579411,0
2855,TIC 158579468,0
2856,TIC 158579702,0
2857,TIC 158580260,0
2858,TIC 358460246,1
2859,TIC 158586643,0
2860,TIC 374997123,1
2861,TIC 233089770,0
2862,TIC 388198242,1
2863,TIC 233090879,0
2864,TIC 233092812,0
2865,TIC 468979441,1
2866,TIC 233093251,0
2867,TIC 468987719,1
2868,TIC 233093714,0
2869,TIC 233094446,0
2870,TIC 73244652,1
2871,TIC 233094169,0
2872,TIC 233095090,0
2873,TIC 147821208,1
2874,TIC 233095291,0
2875,TIC 233095596,0
2876,TIC 154563411,1
2877,TIC 233097244,0
2878,TIC 159117779,1
2879,TIC 233097802,0
2880,TIC 233098055,0
2881,TIC 158617318,0
2882,TIC 219462190,1
2883,TIC 158592003,0
2884,TIC 411731278,1
2885,TIC 158617654,0
2886,TIC 25155310,1
2887,TIC 158617842,0
2888,TIC 418255064,1
2889,TIC 158619689,0
2890,TIC 158617990,0
2891,TIC 447088034,1
2892,TIC 159570595,0
2893,TIC 159584036,0
2894,TIC 31852980,1
2895,TIC 159585544,0
2896,TIC 159585994,0
2897,TIC 233098331,0
2898,TIC 233098282,0
2899,TIC 7088246,1
2900,TIC 233098914,0
2901,TIC 233120542,0
2902,TIC 233120677,0
2903,TIC 31553893,1
2904,TIC 233120839,0
2905,TIC 31858843,1
2906,TIC 233120857,0
2907,TIC 220459826,1
2908,TIC 233121512,0
2909,TIC 220459976,1
2910,TIC 233121908,0
2911,TIC 220475245,1
2912,TIC 233124051,0
2913,TIC 231076038,1
2914,TIC 233125081,0
2915,TIC 231077395,1
2916,TIC 233126238,0
2917,TIC 231721005,1
2918,TIC 233127759,0
2919,TIC 39018923,1
2920,TIC 159612318,0
2921,TIC 159612507,0
2922,TIC 279741379,1
2923,TIC 159613408,0
2924,TIC 381979901,1
2925,TIC 159613447,0
2926,TIC 88902249,1
2927,TIC 159613900,0
2928,TIC 38460940,1
2929,TIC 159614096,0
2930,TIC 159614322,0
2931,TIC 156987351,1
2932,TIC 233128986,0
2933,TIC 167085203,1
2934,TIC 233129338,0
2935,TIC 79748331,1
2936,TIC 233130137,0
2937,TIC 80166433,1
2938,TIC 233130512,0
2939,TIC 233131663,0
2940,TIC 233151333,0
2941,TIC 233153219,0
2942,TIC 101230735,1
2943,TIC 229968364,0
2944,TIC 112395568,1
2945,TIC 128790976,1
2946,TIC 382188882,1
2947,TIC 229974817,0
2948,TIC 388106759,1
2949,TIC 229976008,0
2950,TIC 425997655,1
2951,TIC 229977160,0
2952,TIC 229977510,0
2953,TIC 229978252,0
2954,TIC 229978350,0
2955,TIC 229979731,0
2956,TIC 229979857,0
2957,TIC 252912175,1
2958,TIC 230000636,0
2959,TIC 230001220,0
2960,TIC 230000873,0
2961,TIC 229997470,0
2962,TIC 230002632,0
2963,TIC 230003238,0
2964,TIC 177308364,1
2965,TIC 230003055,0
2966,TIC 128531633,1
2967,TIC 230005512,0
2968,TIC 253030300,1
2969,TIC 230005552,0
2970,TIC 230007816,0
2971,TIC 230007806,0
2972,TIC 230007928,0
2973,TIC 230008518,0
2974,TIC 232025086,1
2975,TIC 230008710,0
2976,TIC 230010430,0
2977,TIC 238164799,1
2978,TIC 230011374,0
2979,TIC 238197638,1
2980,TIC 230013820,0
2981,TIC 238898571,1
2982,TIC 230014401,0
2983,TIC 255588086,1
2984,TIC 230014485,0
2985,TIC 230015155,0
2986,TIC 230016502,0
2987,TIC 230016910,0
2988,TIC 149349867,1
2989,TIC 230017179,0
2990,TIC 50379036,1
2991,TIC 53843023,1
2992,TIC 230017954,0
2993,TIC 62483237,1
2994,TIC 230019699,0
2995,TIC 230019797,0
2996,TIC 219195044,1
2997,TIC 238059180,1
2998,TIC 230021105,0
2999,TIC 238932509,1
3000,TIC 230028622,0
3001,TIC 255685030,1
3002,TIC 230029140,0
3003,TIC 259592689,1
3004,TIC 230050730,0
3005,TIC 260130483,1
3006,TIC 230050842,0
3007,TIC 260417932,1
3008,TIC 230050959,0
3009,TIC 230051646,0
3010,TIC 230052579,0
3011,TIC 312811620,1
3012,TIC 230375947,0
3013,TIC 230376298,0
3014,TIC 313425396,1
3015,TIC 230376391,0
3016,TIC 278866211,1
3017,TIC 230376722,0
3018,TIC 230376817,0
3019,TIC 440872576,1
3020,TIC 230378042,0
3021,TIC 230378089,0
3022,TIC 294395926,1
3023,TIC 230378284,0
3024,TIC 294981566,1
3025,TIC 230378457,0
3026,TIC 177258735,1
3027,TIC 230378747,0
3028,TIC 356472238,1
3029,TIC 230379106,0
3030,TIC 309791156,1
3031,TIC 230379858,0
3032,TIC 230381962,0
3033,TIC 350432166,1
3034,TIC 230382377,0
3035,TIC 350743714,1
3036,TIC 230382403,0
3037,TIC 372818426,1
3038,TIC 230383826,0
3039,TIC 382068562,1
3040,TIC 230384382,0
3041,TIC 382200986,1
3042,TIC 230384389,0
3043,TIC 201233610,1
3044,TIC 230385285,0
3045,TIC 309292963,1
3046,TIC 230385456,0
3047,TIC 319473643,1
3048,TIC 230385952,0
3049,TIC 366298702,1
3050,TIC 230386284,0
3051,TIC 339672028,1
3052,TIC 230388662,0
3053,TIC 230389256,0
3054,TIC 341420329,1
3055,TIC 230389367,0
3056,TIC 207081058,1
3057,TIC 230390207,0
3058,TIC 342167886,1
3059,TIC 230390629,0
3060,TIC 342314656,1
3061,TIC 230390765,0
3062,TIC 389777651,1
3063,TIC 230392244,0
3064,TIC 350618622,1
3065,TIC 230394586,0
3066,TIC 382258844,1
3067,TIC 230397129,0
3068,TIC 230396780,0
3069,TIC 232635891,0
3070,TIC 445456888,1
3071,TIC 232635986,0
3072,TIC 461635621,1
3073,TIC 232636093,0
3074,TIC 467153319,1
3075,TIC 232637376,0
3076,TIC 278525028,1
3077,TIC 232643392,0
3078,TIC 232643188,0
3079,TIC 232643687,0
3080,TIC 281575427,1
3081,TIC 232641526,0
3082,TIC 232645170,0
3083,TIC 232646245,0
3084,TIC 232646673,0
3085,TIC 232647621,0
3086,TIC 232647747,0
3087,TIC 232649213,0
3088,TIC 232650035,0
3089,TIC 158297421,1
3090,TIC 232650302,0
3091,TIC 183120439,1
3092,TIC 201604954,1
3093,TIC 232673365,0
3094,TIC 201642601,1
3095,TIC 232674968,0
3096,TIC 232676412,0
3097,TIC 232676547,0
3098,TIC 232677029,0
3099,TIC 290777444,1
3100,TIC 232677093,0
3101,TIC 232681225,0
3102,TIC 232681393,0
3103,TIC 127530399,1
3104,TIC 232681588,0
3105,TIC 158978373,1
3106,TIC 232682362,0
3107,TIC 160708862,1
3108,TIC 232681995,0
3109,TIC 210873792,1
3110,TIC 232682605,0
3111,TIC 233162340,0
3112,TIC 120247528,1
3113,TIC 233164602,0
3114,TIC 307610438,1
3115,TIC 233166284,0
3116,TIC 161032923,1
3117,TIC 233166294,0
3118,TIC 233166877,0
3119,TIC 233533479,0
3120,TIC 256158543,1
3121,TIC 233533506,0
3122,TIC 233534117,0
3123,TIC 233541069,0
3124,TIC 233545908,0
3125,TIC 276647494,1
3126,TIC 233546325,0
3127,TIC 233546272,0
3128,TIC 277128619,1
3129,TIC 233571918,0
3130,TIC 219175972,1
3131,TIC 233572782,0
3132,TIC 291517604,1
3133,TIC 233571681,0
3134,TIC 237920046,1
3135,TIC 233573215,0
3136,TIC 292477426,1
3137,TIC 233573620,0
3138,TIC 294295243,1
3139,TIC 233573905,0
3140,TIC 294768072,1
3141,TIC 233574185,0
3142,TIC 233574062,0
3143,TIC 233578672,0
3144,TIC 295593712,1
3145,TIC 233579425,0
3146,TIC 233579776,0
3147,TIC 233580397,0
3148,TIC 233580483,0
3149,TIC 302054555,1
3150,TIC 233605432,0
3151,TIC 231663901,1
3152,TIC 233606245,0
3153,TIC 233605660,0
3154,TIC 231702397,1
3155,TIC 233606647,0
3156,TIC 233611973,0
3157,TIC 238176110,1
3158,TIC 233612258,0
3159,TIC 238854767,1
3160,TIC 304339227,1
3161,TIC 233613367,0
3162,TIC 306357884,1
3163,TIC 233613892,0
3164,TIC 306648160,1
3165,TIC 233613764,0
3166,TIC 233614230,0
3167,TIC 254142310,1
3168,TIC 233614577,0
3169,TIC 233619078,0
3170,TIC 311179742,1
3171,TIC 233622100,0
3172,TIC 233621662,0
3173,TIC 318180448,1
3174,TIC 233622256,0
3175,TIC 322270620,1
3176,TIC 233625787,0
3177,TIC 233625914,0
3178,TIC 261369656,1
3179,TIC 233627309,0
3180,TIC 261646133,1
3181,TIC 233627444,0
3182,TIC 233628400,0
3183,TIC 233628527,0
3184,TIC 9989136,1
3185,TIC 233631664,0
3186,TIC 14336130,1
3187,TIC 233631689,0
3188,TIC 22683951,1
3189,TIC 233632364,0
3190,TIC 22705558,1
3191,TIC 233632813,0
3192,TIC 29119552,1
3193,TIC 233633066,0
3194,TIC 51234631,1
3195,TIC 233633173,0
3196,TIC 236774941,0
3197,TIC 85242435,1
3198,TIC 236776067,0
3199,TIC 88385463,1
3200,TIC 236775812,0
3201,TIC 88565745,1
3202,TIC 236777961,0
3203,TIC 236776448,0
3204,TIC 103633672,1
3205,TIC 236776750,0
3206,TIC 103633434,1
3207,TIC 236777782,0
3208,TIC 103751498,1
3209,TIC 236779951,0
3210,TIC 236779701,0
3211,TIC 343952976,1
3212,TIC 236781705,0
3213,TIC 141677268,1
3214,TIC 236781273,0
3215,TIC 142618165,1
3216,TIC 236781290,0
3217,TIC 236781874,0
3218,TIC 142739544,1
3219,TIC 236784295,0
3220,TIC 147561732,1
3221,TIC 236785450,0
3222,TIC 147951030,1
3223,TIC 236784225,0
3224,TIC 153896150,1
3225,TIC 236785664,0
3226,TIC 236785287,0
3227,TIC 155873992,1
3228,TIC 236785122,0
3229,TIC 156199502,1
3230,TIC 236787766,0
3231,TIC 350575997,1
3232,TIC 236787831,0
3233,TIC 159332859,1
3234,TIC 236813492,0
3235,TIC 352229268,1
3236,TIC 236791534,0
3237,TIC 354944123,1
3238,TIC 236814663,0
3239,TIC 357312511,1
3240,TIC 236815076,0
3241,TIC 357661805,1
3242,TIC 236813854,0
3243,TIC 236818973,0
3244,TIC 141608198,1
3245,TIC 144193715,1
3246,TIC 243274392,0
3247,TIC 243275256,0
3248,TIC 147203645,1
3249,TIC 243276811,0
3250,TIC 243278290,0
3251,TIC 243278225,0
3252,TIC 152800085,1
3253,TIC 243278469,0
3254,TIC 243278591,0
3255,TIC 243280731,0
3256,TIC 206686292,1
3257,TIC 243286221,0
3258,TIC 243284596,0
3259,TIC 267263253,1
3260,TIC 243284724,0
3261,TIC 243299453,0
3262,TIC 361711730,1
3263,TIC 243314227,0
3264,TIC 243315463,0
3265,TIC 362709886,1
3266,TIC 243315719,0
3267,TIC 269450900,1
3268,TIC 243317182,0
3269,TIC 364107753,1
3270,TIC 243317620,0
3271,TIC 243318015,0
3272,TIC 243317719,0
3273,TIC 243318299,0
3274,TIC 273985865,1
3275,TIC 243318316,0
3276,TIC 379286801,1
3277,TIC 243333942,0
3278,TIC 241174783,1
3279,TIC 243334392,0
3280,TIC 241225337,1
3281,TIC 243335025,0
3282,TIC 277683130,1
3283,TIC 243336237,0
3284,TIC 243335197,0
3285,TIC 243336701,0
3286,TIC 243353202,0
3287,TIC 243354243,0
3288,TIC 298074043,1
3289,TIC 243355917,0
3290,TIC 298073824,1
3291,TIC 243354593,0
3292,TIC 298074836,1
3293,TIC 243366614,0
3294,TIC 318022259,1
3295,TIC 253042928,0
3296,TIC 253044950,0
3297,TIC 341630071,1
3298,TIC 253045070,0
3299,TIC 349827430,1
3300,TIC 253046322,0
3301,TIC 356473034,1
3302,TIC 253046839,0
3303,TIC 356736743,1
3304,TIC 253047944,0
3305,TIC 358613376,1
3306,TIC 253048570,0
3307,TIC 365938305,1
3308,TIC 253046365,0
3309,TIC 372757221,1
3310,TIC 253048840,0
3311,TIC 407126408,1
3312,TIC 253050108,0
3313,TIC 253050643,0
3314,TIC 253050774,0
3315,TIC 253050810,0
3316,TIC 253051650,0
3317,TIC 253052381,0
3318,TIC 320004517,1
3319,TIC 253052341,0
3320,TIC 325081244,1
3321,TIC 253053844,0
3322,TIC 253054122,0
3323,TIC 451606970,1
3324,TIC 255863592,0
3325,TIC 255863660,0
3326,TIC 255865474,0
3327,TIC 255920751,0
3328,TIC 327301957,1
3329,TIC 255922946,0
3330,TIC 255995023,0
3331,TIC 355600246,1
3332,TIC 255996876,0
3333,TIC 360742636,1
3334,TIC 256379753,0
3335,TIC 366989877,1
3336,TIC 256375401,0
3337,TIC 256379705,0
3338,TIC 372068780,1
3339,TIC 256458460,0
3340,TIC 374348168,1
3341,TIC 256516208,0
3342,TIC 256457971,0
3343,TIC 381982417,1
3344,TIC 256516343,0
3345,TIC 256517649,0
3346,TIC 389421473,1
3347,TIC 256378322,0
3348,TIC 256555422,0
3349,TIC 394721720,1
3350,TIC 256662953,0
3351,TIC 396246765,1
3352,TIC 256615403,0
3353,TIC 405428714,1
3354,TIC 256748206,0
3355,TIC 409934330,1
3356,TIC 256747813,0
3357,TIC 410153553,1
3358,TIC 410214986,1
3359,TIC 258353562,0
3360,TIC 258388856,0
3361,TIC 421894914,1
3362,TIC 258388596,0
3363,TIC 425561347,1
3364,TIC 258461740,0
3365,TIC 258461221,0
3366,TIC 258462158,0
3367,TIC 451599528,1
3368,TIC 258512444,0
3369,TIC 258509306,0
3370,TIC 258629560,0
3371,TIC 466206508,1
3372,TIC 258630311,0
3373,TIC 468178519,1
3374,TIC 258630372,0
3375,TIC 219338557,1
3376,TIC 258629564,0
3377,TIC 220460087,1
3378,TIC 258920632,0
3379,TIC 258955374,0
3380,TIC 258955379,0
3381,TIC 259097905,0
3382,TIC 234519192,1
3383,TIC 266980320,1
3384,TIC 259129583,0
3385,TIC 278666476,1
3386,TIC 259167889,0
3387,TIC 279327604,1
3388,TIC 259169487,0
3389,TIC 281459670,1
3390,TIC 259235909,0
3391,TIC 290131778,1
3392,TIC 259236364,0
3393,TIC 355637190,1
3394,TIC 259266178,0
3395,TIC 393940766,1
3396,TIC 259266354,0
3397,TIC 441159680,1
3398,TIC 264175756,0
3399,TIC 264216879,0
3400,TIC 469791892,1
3401,TIC 264175826,0
3402,TIC 31637479,1
3403,TIC 264217163,0
3404,TIC 50312495,1
3405,TIC 264249224,0
3406,TIC 219181903,1
3407,TIC 264248339,0
3408,TIC 264250555,0
3409,TIC 279514271,1
3410,TIC 264250617,0
3411,TIC 52307802,1
3412,TIC 264302054,0
3413,TIC 366499151,1
3414,TIC 264301570,0
3415,TIC 139251123,1
3416,TIC 264302941,0
3417,TIC 453387619,1
3418,TIC 264301493,0
3419,TIC 264303551,0
3420,TIC 461662295,1
3421,TIC 264303856,0
3422,TIC 267573706,0
3423,TIC 267574639,0
3424,TIC 172222885,1
3425,TIC 269595432,0
3426,TIC 269596634,0
3427,TIC 269596341,0
3428,TIC 9151337,1
3429,TIC 269598007,0
3430,TIC 9907513,1
3431,TIC 269598225,0
3432,TIC 269599443,0
3433,TIC 98833877,1
3434,TIC 269596978,0
3435,TIC 237913194,1
3436,TIC 269663390,0
3437,TIC 259962054,1
3438,TIC 269663324,0
3439,TIC 273418421,1
3440,TIC 269663477,0
3441,TIC 280830734,1
3442,TIC 269663822,0
3443,TIC 281781375,1
3444,TIC 269666588,0
3445,TIC 314865962,1
3446,TIC 269664057,0
3447,TIC 269666569,0
3448,TIC 349095149,1
3449,TIC 269666601,0
3450,TIC 274215536,1
3451,TIC 269697024,0
3452,TIC 358579111,1
3453,TIC 269700207,0
3454,TIC 269700814,0
3455,TIC 269697130,0
3456,TIC 272565266,0
3457,TIC 441587756,1
3458,TIC 272566516,0
3459,TIC 441590110,1
3460,TIC 272566513,0
3461,TIC 272573355,0
3462,TIC 220479565,1
3463,TIC 272574971,0
3464,TIC 275690175,0
3465,TIC 275692107,0
3466,TIC 275691308,0
3467,TIC 22186226,1
3468,TIC 275692574,0
3469,TIC 275693524,0
3470,TIC 275691937,0
3471,TIC 275692427,0
3472,TIC 39858507,1
3473,TIC 275693395,0
3474,TIC 41387532,1
3475,TIC 279980120,0
3476,TIC 79605791,1
3477,TIC 279980795,0
3478,TIC 279983211,0
3479,TIC 106940971,1
3480,TIC 279977464,0
3481,TIC 280068769,0
3482,TIC 280069440,0
3483,TIC 280068946,0
3484,TIC 280073347,0
